Question_no,term_id,term_ko,label,label_ko,description
Q001,T004,통기성,Condition,환경조건,공기가 잘 통하는 정도
Q001,T006,과습,Condition,환경조건,토양·배지 또는 공중 습도가 지나치게 높은 상태
Q001,T007,고온_다습,Condition,환경조건,온도가 높고 습도도 높은 상태
Q002,T010,연작,Condition,환경조건,같은 포장에 같은 작물을 여러 해 반복 재배하는 상태
Q002,T011,배수_불량,Condition,환경조건,물 빠짐이 좋지 않아 토양이 쉽게 과습해지는 상태
Q002,T006,이어_짓기,Condition,환경조건,연작과 비슷하게 같은 밭에 딸기를 계속 재배하는 상태
Q004,T004,비료_부족,Condition,환경조건,생육 도중 추비가 부족해 토양 내 질소 공급이 모자란 상태
Q004,T006,미숙_유기물_과다_시용,Condition,환경조건,완전히 발효되지 않은 유기물을 많이 넣어 미생물 활동이 과도한 상태
Q005,T008,고온_다습_환경,Condition,환경조건,온도·습도가 높은 환경 조건
Q005,T009,과습_토양,Condition,환경조건,물 과다로 통기성이 낮은 토양 상태
Q006,T004,고온_환경,Condition,환경조건,8월 이후 고온 등 해충 발생을 증가시키는 온도 조건
Q006,T006,습도,Condition,환경조건,총채벌레·점박이응애 발생에 영향을 주는 환경 요인
Q008,T009,다습,Condition,환경조건,높은 상대습도 환경
Q008,T011,토양_과습,Condition,환경조건,시들음병 감염을 증가시키는 환경
Q009,T011,고온,Condition,환경조건,작물의 적정온도를 넘어선 높은 온도
Q009,T012,건조,Condition,환경조건,진딧물 번식을 촉진하는 환경 요인
Q010,T008,pH,Condition,환경조건,배지의 산도 수준을 나타내며 뿌리 흡수 환경에 영향을 줌
Q010,T009,EC,Condition,환경조건,배지 또는 양액의 전기전도도 값으로 염류 농도를 의미
