Question_no,sample_no,source_text,node1_label,node1_name_ko,relation,node2_label,node2_name_ko,comment_ko,Unnamed: 9,Unnamed: 10
Q001,S001,"딸기 육묘기에는 고온다습한 조건과 통기 불량, 과습 시 탄저병과 잿빛곰팡이병이 잘 발생한다.",Disease,탄저병,FAVORED_BY_CONDITION,Condition,고온다습,고온다습할 때 탄저병 발생 위험이 커진다는 의미,,
Q001,S002,"딸기 육묘기에는 고온다습한 조건과 통기 불량, 과습 시 탄저병과 잿빛곰팡이병이 잘 발생한다.",Disease,탄저병,FAVORED_BY_CONDITION,Condition,통기_불량,통기 불량할 때 탄저병이 잘 생김,,
Q001,S003,"딸기 육묘기에는 고온다습한 조건과 통기 불량, 과습 시 탄저병과 잿빛곰팡이병이 잘 발생한다.",Disease,탄저병,FAVORED_BY_CONDITION,Condition,과습,과습 상태에서 탄저병이 잘 생김,,
Q001,S004,"딸기 육묘기에는 고온다습한 조건과 통기 불량, 과습 시 탄저병과 잿빛곰팡이병이 잘 발생한다.",Disease,잿빛곰팡이병,FAVORED_BY_CONDITION,Condition,고온다습,고온다습할 때 잿빛곰팡이병도 잘 생김,,
Q001,S005,"딸기 육묘기에는 고온다습한 조건과 통기 불량, 과습 시 탄저병과 잿빛곰팡이병이 잘 발생한다.",Disease,잿빛곰팡이병,FAVORED_BY_CONDITION,Condition,통기_불량,통풍이 안 좋을 때 잿빛곰팡이병이 잘 생김,,
Q001,S016,감우로 인한 물고임은 뿌리썩음병과 탄저병 위험을 증가시킨다.,Disease,뿌리썩음병,FAVORED_BY_CONDITION,Condition,과습,과습(물고임)이 뿌리썩음병 위험을 높임,,
Q001,S017,감우로 인한 물고임은 뿌리썩음병과 탄저병 위험을 증가시킨다.,Disease,탄저병,FAVORED_BY_CONDITION,Condition,과습,과습이 탄저병에도 불리한 조건,,
Q002,S022,탄저병은 설향 품종 육묘기에 여름철 고온다습한 환경에서 주로 발병한다.,Disease,탄저병,FAVORED_BY_CONDITION,Condition,고온다습,여름철 고온다습 환경에서 발생 위험이 높음,,
Q002,S030,"잘록병은 20~25℃의 고온다습 환경, 연작재배지, 환기 불량 시 발생하기 쉽다.",Disease,잘록병,FAVORED_BY_CONDITION,Condition,고온다습,고온다습 조건이 잘록병을 촉진,,
Q002,S031,"잘록병은 20~25℃의 고온다습 환경, 연작재배지, 환기 불량 시 발생하기 쉽다.",Disease,잘록병,FAVORED_BY_CONDITION,Condition,연작,연작재배지에서 잘록병 발생이 많음,,
Q002,S032,"잘록병은 20~25℃의 고온다습 환경, 연작재배지, 환기 불량 시 발생하기 쉽다.",Disease,잘록병,FAVORED_BY_CONDITION,Condition,환기_불량,환기 불량이 잘록병을 유리하게 함,,
Q002,S033,"흰가루병은 20~25℃, 상대습도 60~80%, 장마 이후 고온다습, 환기 불량, 밀식 상태에서 심하게 나타난다.",Disease,흰가루병,FAVORED_BY_CONDITION,Condition,환기_불량,환기 불량과 밀식이 흰가루병을 유리하게 함,,
Q002,S034,"역병은 여름 고온기에 주로 나타나며, 배수가 불량한 육묘포장에서 발생 빈도가 높다.",Disease,역병,FAVORED_BY_CONDITION,Condition,배수_불량,배수 불량이 역병 발생을 유리하게 함,,
Q002,S035,"역병은 여름 고온기에 주로 나타나며, 배수가 불량한 육묘포장에서 발생 빈도가 높다.",Disease,역병,FAVORED_BY_CONDITION,Condition,고온,여름 고온기에 역병 빈도가 증가,,
Q002,S036,"시들음병은 25~28℃에서 잘 발생하며, 비가 와서 토양이 과습해지면 쉽게 감염된다.",Disease,시들음병,FAVORED_BY_CONDITION,Condition,과습,토양 과습과 25~28℃ 조건이 시들음병을 촉진,,
Q002,S037,시들음병은 작은 곤충에 의한 뿌리 상처가 병원균 침입을 촉진한다.,Disease,시들음병,FAVORED_BY_CONDITION,Condition,뿌리_상처,뿌리 상처가 시들음병 감염의 통로 역할,,
Q002,S038,"무름병은 30℃ 내외의 따뜻한 환경, 장마철 이후 고온다습, 환기 부족, 과실 표면 상처가 있을 때 쉽게 발생한다.",Disease,무름병,FAVORED_BY_CONDITION,Condition,장마철,장마철 이후 고온다습 환경에서 무름병이 많음,,
Q002,S039,"무름병은 30℃ 내외의 따뜻한 환경, 장마철 이후 고온다습, 환기 부족, 과실 표면 상처가 있을 때 쉽게 발생한다.",Disease,무름병,FAVORED_BY_CONDITION,Condition,환기_부족,환기 부족과 과실 상처가 무름병 발생을 촉진,,
